line,NC,X,Y,Z,A,B,C,R,F,vX,vY,vZ,vA,vB,vC,time,cumulative time
1,%,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
2,O0001(ROBO 4X),0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
3,(COORD=CENTER),0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
4,(A-90.),0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
5,G49,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
6,G69,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
7,M72,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
8,M69,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
9,M03S1000(ROT_INITIAL),0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
10,G90G00,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5000.0000000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
11,G90G10L11P#4120R-1.0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5000.0000000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
12,X0.Y0.,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5000.0000000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
13,G43Z50.,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5000.0000000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
14,G90,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5000.0000000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000
15,G01X-6.Y0.Z50.A-90.F1000,-6.0000000000,0.0000000000,50.0000000000,-90.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,-58.178442,0.000000,484.820349,-872.676629,0.000000,0.000000,0.1031309847,0.0000000000
16,G00Z31.A-90.,-6.0000000000,0.0000000000,31.0000000000,-90.0000000000,0.0000000000,0.0000000000,0.0000000000,5000.0000000000,0.000000,0.000000,-5000.000000,0.000000,0.000000,0.000000,0.0038000000,0.1031309847
17,G01X-3.F5000,-3.0000000000,0.0000000000,31.0000000000,-90.0000000000,0.0000000000,0.0000000000,0.0000000000,5000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0006000000,0.1069309847
18,X0.,0.0000000000,0.0000000000,31.0000000000,-90.0000000000,0.0000000000,0.0000000000,0.0000000000,5000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0006000000,0.1075309847
19,Z26.F1000,0.0000000000,0.0000000000,26.0000000000,-90.0000000000,0.0000000000,0.0000000000,0.0000000000,1000,0.000000,0.000000,-1000.000000,0.000000,0.000000,0.000000,0.0050000000,0.1081309847
20,A-90.912F2204,0.0000000000,0.0000000000,26.0000000000,-90.9120000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1131309847
21,A-91.823,0.0000000000,0.0000000000,26.0000000000,-91.8230000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004133394,0.1135447778
22,A-92.735,0.0000000000,0.0000000000,26.0000000000,-92.7350000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1139581172
23,A-93.647,0.0000000000,0.0000000000,26.0000000000,-93.6470000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1143719103
24,A-94.559,0.0000000000,0.0000000000,26.0000000000,-94.5590000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1147857034
25,A-95.47,0.0000000000,0.0000000000,26.0000000000,-95.4700000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004133394,0.1151994965
26,A-96.382,0.0000000000,0.0000000000,26.0000000000,-96.3820000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1156128359
27,A-97.294,0.0000000000,0.0000000000,26.0000000000,-97.2940000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1160266290
28,A-98.206,0.0000000000,0.0000000000,26.0000000000,-98.2060000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1164404221
29,A-99.118,0.0000000000,0.0000000000,26.0000000000,-99.1180000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1168542152
30,A-100.03,0.0000000000,0.0000000000,26.0000000000,-100.0300000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1172680083
31,A-100.942,0.0000000000,0.0000000000,26.0000000000,-100.9420000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1176818014
32,A-101.854,0.0000000000,0.0000000000,26.0000000000,-101.8540000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1180955945
33,A-102.766,0.0000000000,0.0000000000,26.0000000000,-102.7660000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1185093876
34,A-103.678,0.0000000000,0.0000000000,26.0000000000,-103.6780000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1189231807
35,A-104.59,0.0000000000,0.0000000000,26.0000000000,-104.5900000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1193369738
36,A-105.502,0.0000000000,0.0000000000,26.0000000000,-105.5020000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1197507669
37,A-106.415,0.0000000000,0.0000000000,26.0000000000,-106.4150000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1201645600
38,A-107.327,0.0000000000,0.0000000000,26.0000000000,-107.3270000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1205788068
39,A-108.239,0.0000000000,0.0000000000,26.0000000000,-108.2390000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1209925999
40,A-109.151,0.0000000000,0.0000000000,26.0000000000,-109.1510000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1214063930
41,A-110.063,0.0000000000,0.0000000000,26.0000000000,-110.0630000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1218201861
42,A-110.976,0.0000000000,0.0000000000,26.0000000000,-110.9760000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1222339792
43,A-111.888,0.0000000000,0.0000000000,26.0000000000,-111.8880000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1226482261
44,A-112.8,0.0000000000,0.0000000000,26.0000000000,-112.8000000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1230620192
45,A-113.713,0.0000000000,0.0000000000,26.0000000000,-113.7130000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1234758123
46,A-114.625,0.0000000000,0.0000000000,26.0000000000,-114.6250000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1238900591
47,A-115.538,0.0000000000,0.0000000000,26.0000000000,-115.5380000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1243038522
48,A-116.45,0.0000000000,0.0000000000,26.0000000000,-116.4500000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1247180990
49,A-117.363,0.0000000000,0.0000000000,26.0000000000,-117.3630000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1251318921
50,A-118.275,0.0000000000,0.0000000000,26.0000000000,-118.2750000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1255461389
51,A-119.188,0.0000000000,0.0000000000,26.0000000000,-119.1880000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1259599320
52,A-120.1,0.0000000000,0.0000000000,26.0000000000,-120.1000000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1263741789
53,A-121.012,0.0000000000,0.0000000000,26.0000000000,-121.0120000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1267879720
54,A-121.924,0.0000000000,0.0000000000,26.0000000000,-121.9240000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1272017651
55,A-122.835,0.0000000000,0.0000000000,26.0000000000,-122.8350000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004133394,0.1276155582
56,A-123.747,0.0000000000,0.0000000000,26.0000000000,-123.7470000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1280288976
57,A-124.659,0.0000000000,0.0000000000,26.0000000000,-124.6590000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1284426907
58,A-125.571,0.0000000000,0.0000000000,26.0000000000,-125.5710000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1288564838
59,A-126.483,0.0000000000,0.0000000000,26.0000000000,-126.4830000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1292702769
60,A-127.395,0.0000000000,0.0000000000,26.0000000000,-127.3950000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1296840700
61,A-128.307,0.0000000000,0.0000000000,26.0000000000,-128.3070000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1300978631
62,A-129.218,0.0000000000,0.0000000000,26.0000000000,-129.2180000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004133394,0.1305116562
63,A-130.13,0.0000000000,0.0000000000,26.0000000000,-130.1300000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1309249956
64,A-131.042,0.0000000000,0.0000000000,26.0000000000,-131.0420000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1313387887
65,A-131.954,0.0000000000,0.0000000000,26.0000000000,-131.9540000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1317525818
66,A-132.866,0.0000000000,0.0000000000,26.0000000000,-132.8660000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1321663749
67,A-133.779,0.0000000000,0.0000000000,26.0000000000,-133.7790000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1325801680
68,A-134.691,0.0000000000,0.0000000000,26.0000000000,-134.6910000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1329944148
69,A-135.603,0.0000000000,0.0000000000,26.0000000000,-135.6030000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1334082079
70,A-136.515,0.0000000000,0.0000000000,26.0000000000,-136.5150000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1338220010
71,A-137.427,0.0000000000,0.0000000000,26.0000000000,-137.4270000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1342357941
72,A-138.339,0.0000000000,0.0000000000,26.0000000000,-138.3390000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1346495872
73,A-139.252,0.0000000000,0.0000000000,26.0000000000,-139.2520000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1350633803
74,A-140.164,0.0000000000,0.0000000000,26.0000000000,-140.1640000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1354776271
75,A-141.076,0.0000000000,0.0000000000,26.0000000000,-141.0760000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1358914202
76,A-141.989,0.0000000000,0.0000000000,26.0000000000,-141.9890000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004142468,0.1363052133
77,A-142.901,0.0000000000,0.0000000000,26.0000000000,-142.9010000000,0.0000000000,0.0000000000,0.0000000000,2204,0.000000,0.000000,0.000000,-2204.000000,0.000000,0.000000,0.0004137931,0.1367194602
